img_id,w,h,mpix
img001,7360,4100,30.176
img002,7952,5304,42.177408
img003,7360,4912,36.15232
img004,4096,2732,11.190272
img005,5184,3240,16.79616
img006,5744,3830,21.99952
img007,4368,2912,12.719616
img008,4192,2794,11.712448
img009,5760,3840,22.1184
img010,5128,3418,17.527504
img011,4512,3008,13.572096
img012,4828,3618,17.467704
img013,5112,3408,17.421696
img014,4288,2848,12.212224
img015,5272,3948,20.813856
img016,5000,3332,16.66
img017,5070,3796,19.24572
img018,5978,3986,23.828308
img019,5184,3456,17.915904
img020,7932,5290,41.96028
img021,4442,2960,13.14832
img022,2570,3840,9.8688
img023,4608,2962,13.648896
img024,5164,3442,17.774488
img025,5760,3840,22.1184
img026,3744,5616,21.026304
img027,3276,4096,13.418496
img028,4000,6000,24.0
img029,3000,4500,13.5
img030,3220,3220,10.3684
img031,7952,5304,42.177408
img032,5184,3456,17.915904
img033,4160,6240,25.9584
img034,3638,5456,19.848928
img035,2586,3890,10.05954
img036,2662,3992,10.626704
img037,3456,3456,11.943936
img038,3974,5000,19.87
img039,3526,3526,12.432676
img040,2550,3188,8.1294
img041,3568,5354,19.103072
img042,3000,4498,13.494
img043,3148,4724,14.871152
img044,3456,5184,17.915904
img045,3744,5616,21.026304
img046,3840,5274,20.25216
img047,4000,6000,24.0
img048,3812,2974,11.336888
img049,5346,7952,42.511392
img050,4912,7360,36.15232
img051,5656,3770,21.32312
img052,2400,1600,3.84
img053,4896,3264,15.980544
img054,3648,5472,19.961856
img055,3264,4896,15.980544
img056,5760,3840,22.1184
img057,4480,6720,30.1056
img058,2964,3782,11.209848
img059,3994,4992,19.938048
img060,3346,5472,18.309312
img061,3346,4736,15.846656
img062,5512,3708,20.438496
img063,5064,3376,17.096064
img064,6000,4000,24.0
img065,3856,2570,9.90992
img066,3848,2564,9.866272
img067,5760,3840,22.1184
img068,5388,3592,19.353696
img069,4150,2534,10.5161
img070,4392,6586,28.925712
img071,2670,4000,10.68
img072,6000,4000,24.0
img073,3826,5728,21.915328
img074,3224,2304,7.428096
img075,4724,3150,14.8806
img076,2462,3732,9.188184
img077,4876,7298,35.585048
img078,3202,1984,6.352768
img079,3188,1890,6.02532
img080,3166,1926,6.097716
img081,2806,3786,10.623516
img082,4876,7374,35.955624
img083,11012,12868,141.702416
img084,2852,5000,14.26
img085,7840,4628,36.28352
img086,7128,10068,71.764704
img087,4752,7828,37.198656
img088,5552,7696,42.728192
img089,4744,7100,33.6824
img090,4216,6000,25.296
img091,7924,10860,86.05464
img092,2000,2728,5.456
img093,4594,3300,15.1602
img094,4000,6000,24.0
img095,11112,13840,153.79008
img096,2252,2872,6.467744
img097,4268,5136,21.920448
img098,6168,7628,47.049504
img099,2196,3292,7.229232
img100,4000,3000,12.0
