encoder,quality,img_id,bytes,wall_s,user_s,sys_s,max_rss_kb
webp,60,img011,814438,1.980,1.940,0.050,78848
webp,75,img011,1023122,2.010,1.990,0.060,78976
webp,90,img011,2198030,2.330,2.270,0.070,78976
avif,28,img011,192610,0.620,1.080,0.120,214164
avif,36,img011,290091,0.930,1.280,0.100,218568
avif,44,img011,434383,0.730,1.410,0.100,224152
jxl,30,img011,439746,0.600,0.800,0.250,582840
jxl,50,img011,600296,0.580,0.850,0.250,587068
jxl,70,img011,879468,0.650,0.900,0.280,595744
jxl,90,img011,1903628,0.590,0.920,0.250,615736
webp,60,img012,658800,2.270,2.150,0.050,98944
webp,75,img012,883822,2.220,2.220,0.050,99072
webp,90,img012,2161666,2.650,2.630,0.070,99072
avif,28,img012,120072,0.590,0.800,0.110,275436
avif,36,img012,188630,0.620,0.880,0.120,279784
avif,44,img012,299395,0.670,1.060,0.130,284268
jxl,30,img012,364073,0.720,1.060,0.310,739356
jxl,50,img012,500452,0.720,1.140,0.280,743212
jxl,70,img012,912880,0.730,1.130,0.320,759524
jxl,90,img012,1615863,0.860,1.200,0.420,769272
webp,60,img013,1820136,2.920,2.650,0.130,107776
webp,75,img013,2201344,3.000,2.900,0.100,107776
webp,90,img013,4652360,3.150,3.140,0.080,118260
avif,28,img013,485853,1.070,2.410,0.150,276396
avif,36,img013,706849,1.430,3.550,0.230,279980
avif,44,img013,1034793,1.460,3.730,0.150,284072
jxl,30,img013,938421,0.870,1.210,0.320,760680
jxl,50,img013,1268574,0.960,1.250,0.360,769048
jxl,70,img013,1856348,0.980,1.420,0.400,787144
jxl,90,img013,3902301,0.930,1.490,0.370,829120
webp,60,img014,2814158,2.300,2.140,0.070,82688
webp,75,img014,3300780,2.280,2.210,0.080,89368
webp,90,img014,5358120,2.620,2.550,0.100,129692
avif,28,img014,1003320,0.870,1.990,0.100,206024
avif,36,img014,1500533,1.060,2.610,0.120,209736
avif,44,img014,2094128,1.370,3.300,0.130,212424
jxl,30,img014,1195216,0.650,0.990,0.250,564012
jxl,50,img014,1644560,0.700,1.050,0.260,573828
jxl,70,img014,2373546,0.620,1.030,0.240,589488
jxl,90,img014,4299767,0.660,1.130,0.250,618564
webp,60,img015,1014834,2.840,2.600,0.050,118656
webp,75,img015,1410406,2.860,2.780,0.090,118528
webp,90,img015,3407100,3.210,3.190,0.090,118528
avif,28,img015,71177,0.710,0.860,0.170,292116
