encoder,quality,img_id,psnr_y,ssim_y,bpp,bytes,wall_s,user_s,sys_s,max_rss_kb
webp,60,img001,38.6361,0.958375,0.553095,2086274,4.11,3.87,0.08,173184
webp,75,img001,39.7623,0.964624,0.683811,2579334,4.01,4.0,0.09,173184
webp,90,img001,44.684,0.983208,1.474733,5562694,4.7,4.64,0.15,173312
webp,60,img002,38.884,0.970426,0.585946,3089212,6.32,5.73,0.15,247936
webp,75,img002,39.9552,0.974981,0.784001,4133390,18.85,18.62,0.26,247808
webp,90,img002,45.682,0.989273,1.680735,8861132,20.89,20.51,0.49,247808
webp,60,img003,38.3112,0.935613,0.391274,1768182,4.66,4.43,0.07,201088
webp,75,img003,39.2204,0.947206,0.49347,2230010,4.53,4.55,0.09,201088
webp,90,img003,44.2875,0.982114,1.172764,5299766,16.42,16.29,0.23,201088
webp,60,img004,35.267,0.945772,0.879973,1230892,2.21,2.06,0.08,71936
webp,75,img004,36.8273,0.959675,1.130346,1581110,2.19,2.18,0.06,71936
webp,90,img004,44.2955,0.99126,2.365546,3308888,2.39,2.33,0.09,83392
webp,60,img005,35.622,0.920092,0.634594,1332342,2.86,2.7,0.08,102528
webp,75,img005,36.7407,0.936108,0.810995,1702700,2.83,2.84,0.05,102656
webp,90,img005,42.4434,0.97853,1.795247,3769158,3.23,3.17,0.11,102528
webp,60,img006,38.4203,0.960377,0.542754,1492542,4.52,4.15,0.18,128128
webp,75,img006,39.6007,0.96692,0.658078,1809674,3.46,3.45,0.09,128256
webp,90,img006,44.5562,0.984179,1.375682,3783042,4.21,4.17,0.12,128256
webp,60,img007,33.8879,0.964936,1.899564,3020216,3.02,2.65,0.1,88704
webp,75,img007,35.5972,0.976609,2.280635,3626100,2.66,2.61,0.09,93960
webp,90,img007,41.3396,0.993671,3.773308,5999378,3.21,3.1,0.14,143368
webp,60,img008,36.4156,0.888024,0.324515,475108,1.76,1.67,0.06,69632
webp,75,img008,37.2489,0.904866,0.468116,685348,1.8,1.8,0.03,69760
webp,90,img008,41.2833,0.957667,1.255216,1837706,2.02,1.99,0.07,69760
webp,60,img009,38.8219,0.969722,0.531072,1468308,3.47,3.28,0.12,128128
webp,75,img009,40.1651,0.975173,0.645728,1785310,3.32,3.31,0.09,128000
webp,90,img009,45.6706,0.988944,1.316372,3639506,3.77,3.74,0.1,128128
webp,60,img010,45.4558,0.976024,0.081949,179546,2.13,2.14,0.04,92288
webp,75,img010,45.7803,0.976744,0.101254,221842,2.05,2.05,0.06,92288
webp,90,img010,47.7152,0.982798,0.360183,789138,2.37,2.36,0.07,92416
webp,60,img011,38.5168,0.95603,0.480066,814438,1.98,1.94,0.05,78848
webp,75,img011,39.6894,0.964685,0.603074,1023122,2.01,1.99,0.06,78976
webp,90,img011,44.9748,0.985173,1.295617,2198030,2.33,2.27,0.07,78976
webp,60,img012,40.8437,0.942358,0.301723,658800,2.27,2.15,0.05,98944
webp,75,img012,41.7463,0.952553,0.40478,883822,2.22,2.22,0.05,99072
webp,90,img012,46.7692,0.984135,0.990017,2161666,2.65,2.63,0.07,99072
webp,60,img013,36.6104,0.939497,0.835802,1820136,2.92,2.65,0.13,107776
webp,75,img013,37.745,0.948244,1.010852,2201344,3.0,2.9,0.1,107776
webp,90,img013,43.5893,0.983505,2.136352,4652360,3.15,3.14,0.08,118260
webp,60,img014,30.8731,0.916794,1.843502,2814158,2.3,2.14,0.07,82688
webp,75,img014,32.4012,0.932866,2.162279,3300780,2.28,2.21,0.08,89368
webp,90,img014,39.1463,0.984226,3.510004,5358120,2.62,2.55,0.1,129692
webp,60,img015,40.8392,0.957445,0.390061,1014834,2.84,2.6,0.05,118656
webp,75,img015,42.1814,0.96879,0.542103,1410406,2.86,2.78,0.09,118528
webp,90,img015,47.5468,0.990512,1.309551,3407100,3.21,3.19,0.09,118528
webp,60,img016,40.707,0.955351,0.347313,723280,2.06,2.0,0.06,95232
webp,75,img016,41.7994,0.963873,0.441349,919110,2.07,2.07,0.04,95488
webp,90,img016,46.4083,0.98392,1.046578,2179498,2.51,2.49,0.07,95360
webp,60,img017,39.3833,0.953066,0.284754,685038,2.28,2.15,0.06,105984
webp,75,img017,40.5273,0.96155,0.372737,896700,2.24,2.23,0.06,105984
webp,90,img017,45.5404,0.984102,0.913132,2196736,2.62,2.6,0.07,105984
webp,60,img018,34.2427,0.906546,0.767003,2284548,3.61,3.34,0.1,147072
webp,75,img018,35.6032,0.92739,0.976205,2907664,3.53,3.5,0.1,147072
webp,90,img018,41.8053,0.980086,2.044911,6090846,7.05,6.91,0.21,158172
webp,60,img019,33.7725,0.945956,1.630952,3652498,3.48,3.14,0.13,116608
webp,75,img019,35.5139,0.963084,1.920787,4301580,3.33,3.25,0.13,116608
webp,90,img019,42.4286,0.99074,3.176982,7114812,3.52,3.39,0.17,172364
webp,60,img020,32.602,0.955683,1.808468,9485480,22.87,21.66,0.56,273152
webp,75,img020,34.3602,0.974018,2.109788,11065914,22.48,22.11,0.48,295436
webp,90,img020,40.4224,0.993322,3.37583,17706344,23.76,22.95,0.92,432572
webp,60,img021,39.5866,0.956654,0.286098,470214,1.71,1.61,0.03,77184
webp,75,img021,40.6422,0.962546,0.369689,607598,1.68,1.69,0.03,77312
webp,90,img021,45.5984,0.983444,1.074207,1765502,1.96,1.93,0.06,77312
webp,60,img022,44.6318,0.976156,0.074613,92042,0.97,0.92,0.03,51584
webp,75,img022,45.2642,0.97859,0.097555,120344,0.95,0.94,0.04,51712
webp,90,img022,48.8444,0.989018,0.312339,385302,1.11,1.11,0.03,51584
webp,60,img023,32.7816,0.844143,0.613281,1046326,2.15,1.83,0.04,80384
webp,75,img023,34.0799,0.88255,0.838608,1430760,2.09,2.08,0.05,80384
webp,90,img023,40.1519,0.962336,1.830688,3123358,2.42,2.4,0.07,88792
webp,60,img024,40.6868,0.937838,0.206053,457810,2.33,2.07,0.05,100480
webp,75,img024,41.1604,0.94235,0.259916,577484,2.14,2.13,0.06,100608
webp,90,img024,44.7066,0.972588,0.781012,1735260,2.51,2.48,0.07,100608
webp,60,img025,39.3558,0.974033,0.43148,1192956,2.8,2.62,0.07,123264
webp,75,img025,40.6178,0.977839,0.515248,1424558,2.68,2.68,0.07,123136
webp,90,img025,45.5304,0.987707,1.021917,2825396,3.02,3.0,0.08,123136
webp,60,img026,43.0002,0.982181,0.391913,1030060,2.79,2.59,0.09,118400
webp,75,img026,44.3669,0.986673,0.491344,1291394,2.7,2.71,0.05,118528
webp,90,img026,50.7614,0.996444,0.999464,2626880,2.98,2.96,0.08,118528
webp,60,img027,43.7943,0.964412,0.206076,345654,1.55,1.53,0.03,76800
webp,75,img027,44.297,0.967732,0.291132,488320,1.59,1.6,0.02,76800
webp,90,img027,47.0451,0.980667,0.889825,1492514,1.87,1.85,0.06,76928
webp,60,img028,40.0507,0.92412,0.14825,444750,2.84,2.67,0.05,129280
webp,75,img028,40.7097,0.934648,0.229079,687238,2.76,2.76,0.06,129408
webp,90,img028,44.3222,0.970886,0.768699,2306098,3.34,3.34,0.07,129408
webp,60,img029,38.3493,0.921183,0.252525,426136,1.6,1.58,0.04,78976
webp,75,img029,39.1361,0.930831,0.343806,580172,1.63,1.64,0.03,78848
webp,90,img029,42.7408,0.963821,0.967605,1632834,2.09,2.12,0.07,78720
webp,60,img030,35.0156,0.943134,0.766171,992996,1.42,1.33,0.03,60416
webp,75,img030,36.3684,0.954339,0.913513,1183958,1.4,1.38,0.05,60672
