encoder,quality,psnr_y,ssim_y,bpp,wall_s
avif,28,34.012218,0.8737608400000001,0.11648871999999999,0.705
avif,36,35.418569,0.89641374,0.18548043,0.805
avif,44,36.937734,0.91944368,0.28942412,0.785
jxl,30,35.503758,0.89241157,0.21919388,0.725
jxl,50,36.817669,0.9127937799999999,0.30760848,0.735
jxl,70,38.830202,0.9409091599999999,0.46768593,0.76
jxl,90,46.410816000000004,0.9855958499999999,1.03938865,0.785
webp,60,38.096945999999996,0.9384354899999999,0.48225256,2.29
webp,75,39.138609,0.9491464700000001,0.6018243600000001,2.2300000000000004
webp,90,43.905772999999996,0.97863867,1.26836412,2.565
